feature_code,date_code,value_per_one_hundred_thousand_people,alcohol_condition,type_of_hospital
NHS Fife,2018/2019,24.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2018/2019,116.9,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2017/2018,107.1,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2015/2016,28.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Fife,2015/2016,28.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2012/2013,23,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2015/2016,609.6,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2016/2017,641.2,All other Alcoholic Conditions,General Acute Hospital
NHS Fife,2018/2019,24.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2012/2013,71.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2017/2018,102.2,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2014/2015,454.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2017/2018,51.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2018/2019,95.3,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2015/2016,128.4,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2011/2012,377.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2018/2019,364.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2015/2016,571,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2017/2018,334.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2017/2018,527.2,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2011/2012,61.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2010/2011,400.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2016/2017,546.5,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2013/2014,382.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2017/2018,450.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2015/2016,356.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2012/2013,375.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2010/2011,71,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2017/2018,132.8,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2018/2019,384.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2010/2011,152.1,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2013/2014,128.1,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2014/2015,386.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Grampian,2010/2011,604.6,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2011/2012,463.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2016/2017,624.4,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2012/2013,56.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Fife,2011/2012,83.6,Alcoholic Liver Disease,General Acute Hospital
NHS Lothian,2011/2012,663.6,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2013/2014,522.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Lothian,2016/2017,395.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Fife,2010/2011,92.8,Alcoholic Liver Disease,General Acute Hospital
NHS Fife,2012/2013,87.9,Alcoholic Liver Disease,General Acute Hospital
NHS Tayside,2013/2014,493.1,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2016/2017,94.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2017/2018,85.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2015/2016,48.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lothian,2010/2011,449.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2010/2011,559.7,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2016/2017,94.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2010/2011,118.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2012/2013,493,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2011/2012,500,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2012/2013,694.7,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2011/2012,101.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2015/2016,451.4,All other Alcoholic Conditions,General Acute Hospital
NHS Lothian,2018/2019,41.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2017/2018,85.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2013/2014,65,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lothian,2017/2018,366.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Highland,2010/2011,765.2,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2015/2016,57.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2018/2019,488.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2018/2019,84,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2014/2015,83.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2013/2014,75.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2016/2017,47.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2015/2016,494,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2016/2017,343.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2014/2015,83,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2018/2019,83.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2018/2019,487.2,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2012/2013,68.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Highland,2012/2013,528.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2014/2015,508.7,All other Alcoholic Conditions,General Acute Hospital
NHS Highland,2016/2017,477.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Tayside,2015/2016,89.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2011/2012,101.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2015/2016,89.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Tayside,2016/2017,467.8,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2017/2018,465.9,All other Alcoholic Conditions,General Acute Hospital
NHS Tayside,2012/2013,68.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2010/2011,118.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2012/2013,73.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Highland,2011/2012,67,All other Alcoholic Conditions,Psychiatric Hospital
NHS Tayside,2013/2014,75.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2016/2017,82.1,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2015/2016,55.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2014/2015,116,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2013/2014,120.9,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2012/2013,58,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2016/2017,542.5,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2017/2018,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2017/2018,469.1,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2011/2012,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2015/2016,113.2,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2017/2018,49.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2010/2011,100.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2016/2017,59.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2014/2015,42,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2017/2018,35.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2013/2014,519.2,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2013/2014,44.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2012/2013,57.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2013/2014,44.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2011/2012,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2015/2016,40.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2014/2015,51.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2015/2016,461.8,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2014/2015,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2015/2016,212.2,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2016/2017,221.5,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2016/2017,57.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2015/2016,54.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2013/2014,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2016/2017,448.7,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2010/2011,136.2,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2011/2012,317.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2010/2011,100.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2018/2019,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2013/2014,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2018/2019,69.9,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2011/2012,90.9,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2015/2016,698.7,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2018/2019,282.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2011/2012,1679.4,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2017/2018,92.7,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2014/2015,97.8,Alcoholic Liver Disease,General Acute Hospital
NHS Lanarkshire,2018/2019,53.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2015/2016,39.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2015/2016,102,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2014/2015,410,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2012/2013,106.3,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2015/2016,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2011/2012,499.1,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2014/2015,51.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2010/2011,104.4,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2018/2019,32.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2017/2018,742.6,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2010/2011,523.5,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2015/2016,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2010/2011,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2018/2019,36.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2016/2017,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Borders,2014/2015,459.3,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2012/2013,556.8,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2017/2018,50.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2013/2014,149.2,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2011/2012,80,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2011/2012,55,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2018/2019,36.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Shetland,2017/2018,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Lanarkshire,2014/2015,41.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2010/2011,58.4,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2015/2016,444.6,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2014/2015,571.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Lanarkshire,2016/2017,613.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2015/2016,672.7,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2013/2014,567.3,All other Alcoholic Conditions,General Acute Hospital
NHS Shetland,2018/2019,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Borders,2010/2011,63.2,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2013/2014,77.7,Alcoholic Liver Disease,General Acute Hospital
NHS Borders,2018/2019,449.4,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2010/2011,543.2,All other Alcoholic Conditions,General Acute Hospital
NHS Borders,2017/2018,38,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Lanarkshire,2011/2012,63.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Shetland,2011/2012,956.9,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2010/2011,1620,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2011/2012,77.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2012/2013,486.2,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2016/2017,30.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2015/2016,554.9,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2012/2013,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2018/2019,32.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2017/2018,118.3,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2013/2014,1411,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2012/2013,56.1,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2013/2014,60.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Dumfries and Galloway,2018/2019,425.3,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2018/2019,674.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Shetland,2017/2018,631.1,All other Alcoholic Conditions,General Acute Hospital
NHS Lanarkshire,2017/2018,638.3,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2018/2019,697.4,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2014/2015,728.3,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2013/2014,93.9,Alcoholic Liver Disease,General Acute Hospital
NHS Shetland,2016/2017,604.4,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2012/2013,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2014/2015,82,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2012/2013,443.8,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2015/2016,75.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2011/2012,1500.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2014/2015,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2012/2013,69.3,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2015/2016,66,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2011/2012,61.9,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2017/2018,50.5,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2018/2019,50.4,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2010/2011,74.2,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2010/2011,68.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2018/2019,440.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2014/2015,68,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2018/2019,50.1,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2013/2014,83.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2018/2019,517.7,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2016/2017,85.5,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2018/2019,737.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2017/2018,88.4,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2015/2016,96.2,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2010/2011,410.7,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2014/2015,781.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2011/2012,60.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2010/2011,1740.7,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2012/2013,1536.3,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2018/2019,68.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2016/2017,60.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2010/2011,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2014/2015,84.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2015/2016,1011.5,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2014/2015,56.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2018/2019,67.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2018/2019,927.6,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2017/2018,981,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2016/2017,1059.5,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2014/2015,982,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2018/2019,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2013/2014,1014.5,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2012/2013,80.5,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2012/2013,60.8,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2010/2011,1168.9,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2012/2013,992,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2016/2017,67.2,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2011/2012,1107.2,All other Alcoholic Conditions,General Acute Hospital
NHS Dumfries and Galloway,2016/2017,283.1,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2017/2018,216.9,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2010/2011,303,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2018/2019,543,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2013/2014,59.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2014/2015,222.3,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2012/2013,66,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2011/2012,58.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2012/2013,788.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2012/2013,193,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2010/2011,907,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2017/2018,776.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2017/2018,35.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2012/2013,55.2,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2013/2014,799.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2016/2017,434.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2017/2018,293,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2014/2015,247.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2010/2011,229.3,Alcoholic Liver Disease,General Acute Hospital
NHS Orkney,2017/2018,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2011/2012,77.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2016/2017,848,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2015/2016,805,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2016/2017,30.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Dumfries and Galloway,2015/2016,270.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2013/2014,81,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Orkney,2016/2017,0,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2016/2017,0,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2010/2011,287.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2017/2018,426.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2010/2011,70.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Orkney,2017/2018,599,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2011/2012,58.7,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2012/2013,332.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Orkney,2014/2015,588.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2016/2017,366.2,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2012/2013,60.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2011/2012,327.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2013/2014,61.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2010/2011,69.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2014/2015,56.3,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2013/2014,208.9,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2013/2014,61.6,All other Alcoholic Conditions,Psychiatric Hospital
NHS Forth Valley,2013/2014,372.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2014/2015,369.4,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2015/2016,382.5,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2016/2017,56.9,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2017/2018,50.5,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2015/2016,494.8,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2017/2018,510.2,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2012/2013,61.3,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2013/2014,66.7,Alcoholic Liver Disease,General Acute Hospital
NHS Forth Valley,2016/2017,461.8,All other Alcoholic Conditions,General Acute Hospital
NHS Greater Glasgow and Clyde,2011/2012,204.1,Alcoholic Liver Disease,General Acute Hospital
NHS Dumfries and Galloway,2013/2014,314.7,Mental and Behavioural Disorders,General Acute Hospital
NHS Dumfries and Galloway,2012/2013,302.6,Mental and Behavioural Disorders,General Acute Hospital
NHS Forth Valley,2015/2016,74.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2013/2014,495.5,All other Alcoholic Conditions,General Acute Hospital
NHS Orkney,2011/2012,129.2,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2011/2012,876.8,Mental and Behavioural Disorders,General Acute Hospital
NHS Greater Glasgow and Clyde,2017/2018,62.7,All other Alcoholic Conditions,Psychiatric Hospital
NHS Greater Glasgow and Clyde,2018/2019,189.3,Alcoholic Liver Disease,General Acute Hospital
NHS Greater Glasgow and Clyde,2017/2018,61.6,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2014/2015,470,All other Alcoholic Conditions,General Acute Hospital
NHS Forth Valley,2016/2017,66.8,Mental and Behavioural Disorders,Psychiatric Hospital
NHS Forth Valley,2011/2012,456.3,All other Alcoholic Conditions,General Acute Hospital
